"기후기술분류별(1)",기후기술분류별(2),2012,2012,2012,2012,2012
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,171620677,106657917,48287773,16674988,0
"감축",소계,157460147,98407543,44122525,14930079,0
"감축",비재생에너지,1027501,628469,46667,352365,0
"감축",재생에너지,35086961,22294879,7179468,5612614,0
"감축",신에너지,13354066,11030136,1986745,337185,0
"감축",에너지저장,37150940,26967172,8440870,1742898,0
"감축",송배전 및 에너지관리,8709826,3054486,5113915,541425,0
"감축",에너지수요,56422506,28826571,21323777,6272159,0
"감축",온실가스 고정,5708347,5605830,31083,71434,0
"적응",소계,9144645,7423219,468212,1253215,0
"적응",농업축산,337331,3,43434,293894,0
"적응",물,8807315,7423216,424778,959321,0
"감축 및 적응 융복합",소계,5015886,827155,3697036,491695,0
"감축 및 적응 융복합",감축 및 적응 융복합,5015886,827155,3697036,491695,0
