"기후기술분류별(1)",기후기술분류별(2),2015,2015,2015,2015,2015
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,1937116,464544,338822,1040086,93665
"감축",소계,1847585,439816,318534,996051,93183
"감축",비재생에너지,28495,13623,1041,-,13831
"감축",재생에너지,314786,9583,55132,186571,63500
"감축",신에너지,49787,2555,2805,44426,-
"감축",에너지저장,284800,142120,31766,106256,4657
"감축",송배전 및 에너지관리,110579,41835,8936,55158,4650
"감축",에너지수요,1044460,229939,204450,603622,6450
"감축",온실가스 고정,14678,161,14405,18,94
"적응",소계,51144,7034,7045,37012,53
"적응",농업축산,12596,5,1705,10866,20
"적응",물,38549,7029,5340,26146,33
"감축 및 적응 융복합",소계,38387,17694,13243,7022,428
"감축 및 적응 융복합",감축 및 적응 융복합,38387,17694,13243,7022,428
