"기후기술분류별(1)",기후기술분류별(2),2014,2014,2014,2014,2014
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,1904750,503564,317854,1024319,59014
"감축",소계,1817551,481650,299126,977788,58987
"감축",비재생에너지,63617,50702,853,-,12062
"감축",재생에너지,274796,6552,50991,181210,36043
"감축",신에너지,47642,2405,2905,42331,-
"감축",에너지저장,271808,148068,27521,95310,908
"감축",송배전 및 에너지관리,119925,44388,9509,61651,4376
"감축",에너지수요,1023441,229494,191126,597275,5547
"감축",온실가스 고정,16322,40,16221,10,51
"적응",소계,51248,5228,6659,39336,25
"적응",농업축산,11996,47,1519,10429,-
"적응",물,39252,5181,5140,28907,25
"감축 및 적응 융복합",소계,35951,16686,12069,7194,2
"감축 및 적응 융복합",감축 및 적응 융복합,35951,16686,12069,7194,2
