"기후기술분류별(1)",기후기술분류별(2),2017,2017,2017,2017,2017
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,2256393,519095,402527,1221701,113070
"감축",소계,2161765,498683,378032,1172600,112450
"감축",비재생에너지,67256,48202,1013,-,18041
"감축",재생에너지,431357,11097,78802,268472,72986
"감축",신에너지,60452,2607,3270,50920,3655
"감축",에너지저장,330039,160599,36016,129039,4384
"감축",송배전 및 에너지관리,105855,46938,8858,44091,5968
"감축",에너지수요,1148851,229245,232276,680064,7266
"감축",온실가스 고정,17955,-6,17797,14,150
"적응",소계,55322,5121,7262,42866,73
"적응",농업축산,12858,-,1657,11161,39
"적응",물,42464,5121,5605,31704,34
"감축 및 적응 융복합",소계,39306,15292,17232,6235,547
"감축 및 적응 융복합",감축 및 적응 융복합,39306,15292,17232,6235,547
