"기후기술분류별(1)",기후기술분류별(2),2014,2014,2014,2014,2014
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,163626749,101333626,44839224,17453898,0
"감축",소계,150388780,93158934,41595586,15634260,0
"감축",비재생에너지,1005335,673534,22709,309092,0
"감축",재생에너지,33248773,20872400,6626573,5749801,0
"감축",신에너지,10930300,9105627,1435534,389139,0
"감축",에너지저장,36052539,26278778,7929782,1843978,0
"감축",송배전 및 에너지관리,8251464,3046087,4540109,665267,0
"감축",에너지수요,55785782,28261799,20968412,6555571,0
"감축",온실가스 고정,5114587,4920709,72467,121411,0
"적응",소계,8794060,7192742,373838,1227480,0
"적응",농업축산,359290,2,43008,316280,0
"적응",물,8434770,7192740,330830,911200,0
"감축 및 적응 융복합",소계,4443908,981950,2869801,592157,0
"감축 및 적응 융복합",감축 및 적응 융복합,4443908,981950,2869801,592157,0
