"기후기술분류별(1)",기후기술분류별(2),2017,2017,2017,2017,2017
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,197615,71298,68196,50922,7199
"감축",소계,185286,69988,65794,42542,6963
"감축",비재생에너지,4079,1854,233,1504,488
"감축",재생에너지,54862,18331,17277,15697,3557
"감축",신에너지,3992,1565,1284,1071,73
"감축",에너지저장,36001,26165,3528,6233,75
"감축",송배전 및 에너지관리,4878,137,2384,1889,467
"감축",에너지수요,81060,21932,40999,15843,2286
"감축",온실가스 고정,415,4,89,305,16
"적응",소계,8333,101,507,7579,145
"적응",농업축산,1630,-,144,1414,72
"적응",물,6703,101,363,6165,74
"감축 및 적응 융복합",소계,3996,1209,1895,800,92
"감축 및 적응 융복합",감축 및 적응 융복합,3996,1209,1895,800,92
