"기후기술분류별(1)",기후기술분류별(2),2018,2018,2018,2018,2018
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,2339175,554427,424209,1249220,111318
"감축",소계,2246186,532931,399260,1203418,110577
"감축",비재생에너지,57098,37937,816,-,18346
"감축",재생에너지,413394,11345,86960,243939,71150
"감축",신에너지,67353,2370,4290,56349,4344
"감축",에너지저장,369005,190350,42771,132000,3885
"감축",송배전 및 에너지관리,111370,53944,7925,44671,4829
"감축",에너지수요,1210980,236986,239585,726460,7950
"감축",온실가스 고정,16986,-,16914,-,72
"적응",소계,50864,3548,7323,39952,40
"적응",농업축산,14198,-,1508,12665,25
"적응",물,36666,3548,5814,27287,16
"감축 및 적응 융복합",소계,42125,17947,17626,5850,701
"감축 및 적응 융복합",감축 및 적응 융복합,42125,17947,17626,5850,701
