"기후기술분류별(1)",기후기술분류별(2),2014,2014,2014,2014,2014
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,192815,70368,69639,46154,6654
"감축",소계,181306,69105,66978,38812,6412
"감축",비재생에너지,3754,1977,145,1224,410
"감축",재생에너지,51910,16026,18692,14200,2991
"감축",신에너지,3953,1658,1302,940,53
"감축",에너지저장,35491,26230,3580,5632,48
"감축",송배전 및 에너지관리,5340,137,2902,1901,400
"감축",에너지수요,80504,23061,40265,14682,2496
"감축",온실가스 고정,355,17,92,232,13
"적응",소계,7254,71,436,6603,144
"적응",농업축산,1415,2,126,1218,70
"적응",물,5839,70,310,5385,74
"감축 및 적응 융복합",소계,4255,1192,2225,740,99
"감축 및 적응 융복합",감축 및 적응 융복합,4255,1192,2225,740,99
